entity_id:ID(Entity-ID),:LABEL,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_083868f736c53d4e,Entity,ent_083868f736c53d4e,ent_083868f736c53d4e,内部磨损故障,内部磨损故障,内部磨损故障,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[330],330,"[""eocc_c823fd1d987fe7fc""]",eocc_c823fd1d987fe7fc
ent_085adf896cec2ed0,Entity,ent_085adf896cec2ed0,ent_085adf896cec2ed0,签字确认,签字确认,签字确认,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[342],342,"[""eocc_4439680e45a33a21""]",eocc_4439680e45a33a21
ent_0869b0a687b8e43b,Entity,ent_0869b0a687b8e43b,ent_0869b0a687b8e43b,增压器的清洗,增压器的清洗,增压器的清洗,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[356],356,"[""eocc_54157eb051ceb76d""]",eocc_54157eb051ceb76d
ent_088a9b6c600f4792,Entity,ent_088a9b6c600f4792,ent_088a9b6c600f4792,启动燃烧系统,启动燃烧系统,启动燃烧系统,设备对象,设备对象,"[""设备对象""]",设备对象,,{},"[351, 352]",351|352,"[""eocc_c37c508674bc003b"", ""eocc_e53c6cd58cbe8c69""]",eocc_c37c508674bc003b|eocc_e53c6cd58cbe8c69
ent_08d380f13e73499a,Entity,ent_08d380f13e73499a,ent_08d380f13e73499a,螺栓预紧力,螺栓预紧力,螺栓预紧力,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[344],344,"[""eocc_be8b356bcda081df""]",eocc_be8b356bcda081df
ent_091a65dbbca40f50,Entity,ent_091a65dbbca40f50,ent_091a65dbbca40f50,清洁,清洁,清洁,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[355],355,"[""eocc_8c978ba93766609c""]",eocc_8c978ba93766609c
ent_0969917e36a90302,Entity,ent_0969917e36a90302,ent_0969917e36a90302,报警记录,报警记录,报警记录,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[329],329,"[""eocc_19a3f869694bc5d1""]",eocc_19a3f869694bc5d1
ent_0a6ee0dc24054a69,Entity,ent_0a6ee0dc24054a69,ent_0a6ee0dc24054a69,计量器具,计量器具,计量器具,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[343],343,"[""eocc_5692a2828798c750""]",eocc_5692a2828798c750
ent_0b11dc6ec8abd040,Entity,ent_0b11dc6ec8abd040,ent_0b11dc6ec8abd040,启动阀孔,启动阀孔,启动阀孔,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[353],353,"[""eocc_90fdf022f6108129""]",eocc_90fdf022f6108129
ent_0b7b68e46f1f1d56,Entity,ent_0b7b68e46f1f1d56,ent_0b7b68e46f1f1d56,设备原厂技术手册,设备原厂技术手册,设备原厂技术手册,文件,文件,"[""文件""]",文件,,{},"[329, 334]",329|334,"[""eocc_6e61c5a8316c86ea"", ""eocc_8ec2d099e99b129d""]",eocc_6e61c5a8316c86ea|eocc_8ec2d099e99b129d
ent_0b8b7f751039d3b1,Entity,ent_0b8b7f751039d3b1,ent_0b8b7f751039d3b1,班组质检员,班组质检员,班组质检员,责任主体,责任主体,"[""责任主体""]",责任主体,,{},[342],342,"[""eocc_4a27c7f576c7ef42""]",eocc_4a27c7f576c7ef42
ent_0bb4df1025d87ac6,Entity,ent_0bb4df1025d87ac6,ent_0bb4df1025d87ac6,定期拆检排气阀,定期拆检排气阀,定期拆检排气阀,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[352],352,"[""eocc_0d2c055d44710afb""]",eocc_0d2c055d44710afb
ent_0bdefbafce878211,Entity,ent_0bdefbafce878211,ent_0bdefbafce878211,维修单位的质量负责人,维修单位的质量负责人,维修单位的质量负责人,责任主体,责任主体,"[""责任主体""]",责任主体,,{},[337],337,"[""eocc_da0c6f377fdd622c""]",eocc_da0c6f377fdd622c
ent_0ccdfad8011fc11f,Entity,ent_0ccdfad8011fc11f,ent_0ccdfad8011fc11f,断电,断电,断电,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},[338],338,"[""eocc_14930fe97219318c""]",eocc_14930fe97219318c
ent_0d6e7284de2fc700,Entity,ent_0d6e7284de2fc700,ent_0d6e7284de2fc700,配气定时偏差,配气定时偏差,配气定时偏差,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[331],331,"[""eocc_6bcffde6bd7870e9""]",eocc_6bcffde6bd7870e9
ent_0d9e824f3fc4d853,Entity,ent_0d9e824f3fc4d853,ent_0d9e824f3fc4d853,空载试车,空载试车,空载试车,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[346],346,"[""eocc_b9ad997b50e97820""]",eocc_b9ad997b50e97820
ent_0d9fdf088bbbab3a,Entity,ent_0d9fdf088bbbab3a,ent_0d9fdf088bbbab3a,滑油管路,滑油管路,滑油管路,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[346],346,"[""eocc_1ce0af1e13dd4d09""]",eocc_1ce0af1e13dd4d09
ent_0db00f4c5fedcc1c,Entity,ent_0db00f4c5fedcc1c,ent_0db00f4c5fedcc1c,UT,ut,UT,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},[344],344,"[""eocc_532b97b2b15139a8""]",eocc_532b97b2b15139a8
ent_0de04417f426ae80,Entity,ent_0de04417f426ae80,ent_0de04417f426ae80,喷油器针阀偶件密封性检测,喷油器针阀偶件密封性检测,喷油器针阀偶件密封性检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_cd551d2edc942536""]",eocc_cd551d2edc942536
ent_0df5be3aca34a4a2,Entity,ent_0df5be3aca34a4a2,ent_0df5be3aca34a4a2,配气定时,配气定时,配气定时,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},"[341, 345]",341|345,"[""eocc_29b7b4d9daeadae1"", ""eocc_9f59926c5589f08f""]",eocc_29b7b4d9daeadae1|eocc_9f59926c5589f08f
ent_0e40d7fb2f4a2f3e,Entity,ent_0e40d7fb2f4a2f3e,ent_0e40d7fb2f4a2f3e,违章作业纠正,违章作业纠正,违章作业纠正,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[342],342,"[""eocc_ee5845ef13643a34""]",eocc_ee5845ef13643a34
ent_0e6b2e559b6ee515,Entity,ent_0e6b2e559b6ee515,ent_0e6b2e559b6ee515,密封面贴合率,密封面贴合率,密封面贴合率,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[344],344,"[""eocc_f076af1fccc4e182""]",eocc_f076af1fccc4e182
ent_0e8dd75ac69064b0,Entity,ent_0e8dd75ac69064b0,ent_0e8dd75ac69064b0,启动燃烧工况异常,启动燃烧工况异常,启动燃烧工况异常,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[355],355,"[""eocc_631b65b38508001b""]",eocc_631b65b38508001b
ent_0f11d315a8c6ac23,Entity,ent_0f11d315a8c6ac23,ent_0f11d315a8c6ac23,凸轮型线磨损检测,凸轮型线磨损检测,凸轮型线磨损检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_8f7e2014e119322d""]",eocc_8f7e2014e119322d
ent_0f35ce8cb5000544,Entity,ent_0f35ce8cb5000544,ent_0f35ce8cb5000544,接合面密封性能差,接合面密封性能差,接合面密封性能差,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[354],354,"[""eocc_b64fe8c2f0013ce5""]",eocc_b64fe8c2f0013ce5
ent_0f955f2a076b7afb,Entity,ent_0f955f2a076b7afb,ent_0f955f2a076b7afb,管控措施,管控措施,管控措施,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},"[336, 339]",336|339,"[""eocc_6aa41601ace8bf63"", ""eocc_d78f07fb182e4334""]",eocc_6aa41601ace8bf63|eocc_d78f07fb182e4334
ent_1002c7c34d095629,Entity,ent_1002c7c34d095629,ent_1002c7c34d095629,能量利用率,能量利用率,能量利用率,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[359],359,"[""eocc_14b57c152e7365d9""]",eocc_14b57c152e7365d9
ent_1005652357b26431,Entity,ent_1005652357b26431,ent_1005652357b26431,高压试验,高压试验,高压试验,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[336],336,"[""eocc_4d8e5e80f3d9dc7d""]",eocc_4d8e5e80f3d9dc7d
ent_10758ae0106316b8,Entity,ent_10758ae0106316b8,ent_10758ae0106316b8,调整数据,调整数据,调整数据,文件,文件,"[""文件""]",文件,,{},[341],341,"[""eocc_fd8e9af87d7c8eca""]",eocc_fd8e9af87d7c8eca
ent_1095bf028f06d8ce,Entity,ent_1095bf028f06d8ce,ent_1095bf028f06d8ce,缺陷,缺陷,缺陷,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[355],355,"[""eocc_e190cccd75318a62""]",eocc_e190cccd75318a62
ent_10ba357053d26898,Entity,ent_10ba357053d26898,ent_10ba357053d26898,废气涡轮,废气涡轮,废气涡轮,设备对象,设备对象,"[""设备对象""]",设备对象,,{},"[356, 358]",356|358,"[""eocc_8e8293bf9eade913"", ""eocc_b415c2d74309346d""]",eocc_8e8293bf9eade913|eocc_b415c2d74309346d
ent_1100556b443f0651,Entity,ent_1100556b443f0651,ent_1100556b443f0651,船级社认可,船级社认可,船级社认可,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[337],337,"[""eocc_1c676567817b11d2""]",eocc_1c676567817b11d2
ent_113ebbf92c42bbe6,Entity,ent_113ebbf92c42bbe6,ent_113ebbf92c42bbe6,汽缸油润滑效果不佳,汽缸油润滑效果不佳,汽缸油润滑效果不佳,原因/影响因素,原因/影响因素,"[""原因/影响因素""]",原因/影响因素,,{},[354],354,"[""eocc_72f66f972c8f359d""]",eocc_72f66f972c8f359d
ent_1152d6714fed1a59,Entity,ent_1152d6714fed1a59,ent_1152d6714fed1a59,活塞环开口间隙检测,活塞环开口间隙检测,活塞环开口间隙检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_53a53daba0c293fa""]",eocc_53a53daba0c293fa
ent_127725a271c33634,Entity,ent_127725a271c33634,ent_127725a271c33634,检查阀杆与导套间的接触表面状态,检查阀杆与导套间的接触表面状态,检查阀杆与导套间的接触表面状态,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[352],352,"[""eocc_bfb5db66b394afb7""]",eocc_bfb5db66b394afb7
ent_13de6c99a59f54ab,Entity,ent_13de6c99a59f54ab,ent_13de6c99a59f54ab,预紧力控制要求,预紧力控制要求,预紧力控制要求,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[336],336,"[""eocc_4a301639ab443767""]",eocc_4a301639ab443767
ent_142737a4324a0722,Entity,ent_142737a4324a0722,ent_142737a4324a0722,废气涡轮增压器的喘振,废气涡轮增压器的喘振,废气涡轮增压器的喘振,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[356],356,"[""eocc_93fa5d82c78cfe93""]",eocc_93fa5d82c78cfe93
ent_148d27206d8c3f42,Entity,ent_148d27206d8c3f42,ent_148d27206d8c3f42,试车记录,试车记录,试车记录,文件,文件,"[""文件""]",文件,,{},[337],337,"[""eocc_176b45937e6cbefd""]",eocc_176b45937e6cbefd
ent_149491adcfa779c3,Entity,ent_149491adcfa779c3,ent_149491adcfa779c3,系统完整性与密封性检验,系统完整性与密封性检验,系统完整性与密封性检验,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[346],346,"[""eocc_7b8b8f6dc0d34073""]",eocc_7b8b8f6dc0d34073
ent_154af1389cc4da49,Entity,ent_154af1389cc4da49,ent_154af1389cc4da49,密封面宽度,密封面宽度,密封面宽度,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[340],340,"[""eocc_e3a8020ef36047db""]",eocc_e3a8020ef36047db
ent_155b945f9bba7eed,Entity,ent_155b945f9bba7eed,ent_155b945f9bba7eed,专项性能勘验,专项性能勘验,专项性能勘验,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[331],331,"[""eocc_f6c1bf6bb0edd04b""]",eocc_f6c1bf6bb0edd04b
ent_158aee2536769efc,Entity,ent_158aee2536769efc,ent_158aee2536769efc,拆解后复检,拆解后复检,拆解后复检,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[339],339,"[""eocc_418269d99880d620""]",eocc_418269d99880d620
ent_160d6ce6359e8904,Entity,ent_160d6ce6359e8904,ent_160d6ce6359e8904,缸盖,缸盖,缸盖,设备对象,设备对象,"[""设备对象""]",设备对象,,{},"[352, 353]",352|353,"[""eocc_4d1d3b017d76a9df"", ""eocc_b55b5324e4284eeb""]",eocc_4d1d3b017d76a9df|eocc_b55b5324e4284eeb
ent_165bbf88cbe1e1bf,Entity,ent_165bbf88cbe1e1bf,ent_165bbf88cbe1e1bf,压缩空气,压缩空气,压缩空气,设备对象,设备对象,"[""设备对象""]",设备对象,,{},"[332, 339]",332|339,"[""eocc_3e01547eab8bd285"", ""eocc_ecf32cfae751c13a""]",eocc_3e01547eab8bd285|eocc_ecf32cfae751c13a
ent_16b3f63f86a1177b,Entity,ent_16b3f63f86a1177b,ent_16b3f63f86a1177b,主轴承间隙,主轴承间隙,主轴承间隙,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[345],345,"[""eocc_1a66d77cb883e66f""]",eocc_1a66d77cb883e66f
ent_1709b06aff4bac6e,Entity,ent_1709b06aff4bac6e,ent_1709b06aff4bac6e,轴瓦烧蚀检测,轴瓦烧蚀检测,轴瓦烧蚀检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_28f13019f3dd3b24""]",eocc_28f13019f3dd3b24
ent_17722d8f748d118b,Entity,ent_17722d8f748d118b,ent_17722d8f748d118b,废气涡轮增压器,废气涡轮增压器,废气涡轮增压器,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[358],358,"[""eocc_8f1bd70a96a2fd28""]",eocc_8f1bd70a96a2fd28
ent_17aa85c3406ca9fb,Entity,ent_17aa85c3406ca9fb,ent_17aa85c3406ca9fb,表面粗糙度,表面粗糙度,表面粗糙度,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},"[340, 344]",340|344,"[""eocc_b2218af649cd0462"", ""eocc_d94e61e997dbc269""]",eocc_b2218af649cd0462|eocc_d94e61e997dbc269
ent_18ea38e036f5eaaf,Entity,ent_18ea38e036f5eaaf,ent_18ea38e036f5eaaf,核查漏油漏水漏气,核查漏油漏水漏气,核查漏油漏水漏气,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[330],330,"[""eocc_7e1ec9b3548e6852""]",eocc_7e1ec9b3548e6852
ent_1911a25b9ae5116c,Entity,ent_1911a25b9ae5116c,ent_1911a25b9ae5116c,船级社,船级社,船级社,责任主体,责任主体,"[""责任主体""]",责任主体,,{},"[337, 348]",337|348,"[""eocc_5ccdda78fb16d383"", ""eocc_ab780bf2d6c65315""]",eocc_5ccdda78fb16d383|eocc_ab780bf2d6c65315
ent_19534eb3eda0d30b,Entity,ent_19534eb3eda0d30b,ent_19534eb3eda0d30b,维修单位,维修单位,维修单位,责任主体,责任主体,"[""责任主体""]",责任主体,,{},"[348, 349]",348|349,"[""eocc_a7ea1b5c2ddfa606"", ""eocc_c28d04573b9ae209""]",eocc_a7ea1b5c2ddfa606|eocc_c28d04573b9ae209
ent_1953aeed720b3fe1,Entity,ent_1953aeed720b3fe1,ent_1953aeed720b3fe1,冷却水进出口温差,冷却水进出口温差,冷却水进出口温差,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[331],331,"[""eocc_e9015c3e2494dfa6""]",eocc_e9015c3e2494dfa6
ent_1994d3aaa55fee4a,Entity,ent_1994d3aaa55fee4a,ent_1994d3aaa55fee4a,装配方向,装配方向,装配方向,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[341],341,"[""eocc_37dba800cd49dee1""]",eocc_37dba800cd49dee1
ent_19b4796187a16b93,Entity,ent_19b4796187a16b93,ent_19b4796187a16b93,拧紧顺序,拧紧顺序,拧紧顺序,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[341],341,"[""eocc_100922c19517d114""]",eocc_100922c19517d114
ent_1a27c17d6f46bdba,Entity,ent_1a27c17d6f46bdba,ent_1a27c17d6f46bdba,工序检验,工序检验,工序检验,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},"[339, 341]",339|341,"[""eocc_a6eeec0ff5bae49e"", ""eocc_e25c0e63ef5dc078""]",eocc_a6eeec0ff5bae49e|eocc_e25c0e63ef5dc078
ent_1a4a39d91c5dc044,Entity,ent_1a4a39d91c5dc044,ent_1a4a39d91c5dc044,活塞环槽高度检测,活塞环槽高度检测,活塞环槽高度检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_f372762baad26888""]",eocc_f372762baad26888
ent_1a5e6a839c76e132,Entity,ent_1a5e6a839c76e132,ent_1a5e6a839c76e132,燃烧室容积检测,燃烧室容积检测,燃烧室容积检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_9180c7fe6df7d9ae""]",eocc_9180c7fe6df7d9ae
ent_1b0257665ef87ad3,Entity,ent_1b0257665ef87ad3,ent_1b0257665ef87ad3,样品取样容器,样品取样容器,样品取样容器,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[330],330,"[""eocc_1373adf01ce3393c""]",eocc_1373adf01ce3393c
ent_1badb587d3def904,Entity,ent_1badb587d3def904,ent_1badb587d3def904,密封性,密封性,密封性,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[340],340,"[""eocc_c0ed0c7839aa11fb""]",eocc_c0ed0c7839aa11fb
ent_1c3d37225fddd81a,Entity,ent_1c3d37225fddd81a,ent_1c3d37225fddd81a,试车试验记录与报告,试车试验记录与报告,试车试验记录与报告,文件,文件,"[""文件""]",文件,,{},[348],348,"[""eocc_713f0452b35d31cc""]",eocc_713f0452b35d31cc
ent_1c992cc242b33118,Entity,ent_1c992cc242b33118,ent_1c992cc242b33118,内窥镜检测,内窥镜检测,内窥镜检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[331],331,"[""eocc_ab2247e24839c673""]",eocc_ab2247e24839c673
ent_1cb1e9b90f932f9a,Entity,ent_1cb1e9b90f932f9a,ent_1cb1e9b90f932f9a,滴油,滴油,滴油,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[340],340,"[""eocc_24aae0fbe5add698""]",eocc_24aae0fbe5add698
ent_1cc1550e042236db,Entity,ent_1cc1550e042236db,ent_1cc1550e042236db,故障勘验报告,故障勘验报告,故障勘验报告,文件,文件,"[""文件""]",文件,,{},"[337, 343, 346]",337|343|346,"[""eocc_021435bc3347f937"", ""eocc_0d09f19221d0d8e4"", ""eocc_829828a04e1d004b""]",eocc_021435bc3347f937|eocc_0d09f19221d0d8e4|eocc_829828a04e1d004b
ent_1cd2b7c9934d9b35,Entity,ent_1cd2b7c9934d9b35,ent_1cd2b7c9934d9b35,校正工艺,校正工艺,校正工艺,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},[336],336,"[""eocc_f3bd4680f108766d""]",eocc_f3bd4680f108766d
ent_1cfefe5ad80a1c03,Entity,ent_1cfefe5ad80a1c03,ent_1cfefe5ad80a1c03,转速波动,转速波动,转速波动,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[347],347,"[""eocc_24c43e5fe8faa05c""]",eocc_24c43e5fe8faa05c
ent_1d36e81db067ea48,Entity,ent_1d36e81db067ea48,ent_1d36e81db067ea48,连杆校正,连杆校正,连杆校正,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},[335],335,"[""eocc_b5a6e4d1d52916a9""]",eocc_b5a6e4d1d52916a9
ent_1d3a044b3fe226ee,Entity,ent_1d3a044b3fe226ee,ent_1d3a044b3fe226ee,增压扫气系统故障,增压扫气系统故障,增压扫气系统故障,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[355],355,"[""eocc_4c7d4ee3f7b828c6""]",eocc_4c7d4ee3f7b828c6
ent_1d816e92c6737d51,Entity,ent_1d816e92c6737d51,ent_1d816e92c6737d51,锁定盘车机,锁定盘车机,锁定盘车机,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[330],330,"[""eocc_1fad8643b58e1699""]",eocc_1fad8643b58e1699
ent_1dfbf2fe103c6717,Entity,ent_1dfbf2fe103c6717,ent_1dfbf2fe103c6717,曲轴圆柱度检测,曲轴圆柱度检测,曲轴圆柱度检测,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[333],333,"[""eocc_bde0d071be386e7e""]",eocc_bde0d071be386e7e
ent_1dfe3da0f39b57f1,Entity,ent_1dfe3da0f39b57f1,ent_1dfe3da0f39b57f1,盘车机,盘车机,盘车机,设备对象,设备对象,"[""设备对象""]",设备对象,,{},"[330, 346]",330|346,"[""eocc_209cc509d3e36b3e"", ""eocc_b89a780ed6ba1bf6""]",eocc_209cc509d3e36b3e|eocc_b89a780ed6ba1bf6
ent_1e44b32f609f5da7,Entity,ent_1e44b32f609f5da7,ent_1e44b32f609f5da7,废气能量,废气能量,废气能量,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[359],359,"[""eocc_57a416564a143e96""]",eocc_57a416564a143e96
