observation_id,text,kind,source_kind,attribute_key,attribute_value,relation_type,peer_entity_id,peer_entity_name,direction,source_chunk_ids_json,source_chunk_ids_pipe
obs_00ac95beefcb,被 轮机人员必须立即检查主机曲拐箱内部，确认曲轴是否发生红套移位 以 适用于 关系连接,relation_projection,relation,,,适用于,ent_7831a19086851264,轮机人员必须立即检查主机曲拐箱内部，确认曲轴是否发生红套移位,incoming,[511],511
obs_00c43797c5db,被 No.1 增压器 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_38581f6414659f36,No.1 增压器,incoming,[487],487
obs_00d95f5e901d,与 GHM 轮超负荷运行引发主机机损 存在 发生 关系,relation_projection,relation,,,发生,ent_21febfdee77722e3,GHM 轮超负荷运行引发主机机损,outgoing,[484],484
obs_0104311db2d6,与 自动减速功能 存在 组成或隶属 关系,relation_projection,relation,,,组成或隶属,ent_7832042a7a822384,自动减速功能,outgoing,[479],479
obs_010b036bb346,被 FH 轮 No.2 缸活塞头烧穿 以 采取 关系连接,relation_projection,relation,,,采取,ent_2ebdb71cb8f2ff63,FH 轮 No.2 缸活塞头烧穿,incoming,[476],476
obs_012629c47ba6,与 燃油系统 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_cadb65e1aa56ed53,燃油系统,outgoing,[460],460
obs_012f380c9c21,与 扫气箱着火 存在 导致 关系,relation_projection,relation,,,导致,ent_7055a2207384d569,扫气箱着火,outgoing,[465],465
obs_01350b46dcc4,与 转子 存在 组成或隶属 关系,relation_projection,relation,,,组成或隶属,ent_a385d3fce78c2bae,转子,outgoing,"[486, 487]",486|487
obs_0143391d30be,被 FY 轮主机工况恶化事故 以 采取 关系连接,relation_projection,relation,,,采取,ent_b7a18bdf6e969c01,FY 轮主机工况恶化事故,incoming,[467],467
obs_0163ad442241,与 采取临时固定措施 存在 采取 关系,relation_projection,relation,,,采取,ent_ee2986ad706fc431,采取临时固定措施,outgoing,[502],502
obs_01697d16fb4e,与 活塞水伸缩管 存在 涉及设备 关系,relation_projection,relation,,,涉及设备,ent_acbf445f51e66f15,活塞水伸缩管,outgoing,[488],488
obs_017065997a1c,被 活塞上两道令槽有烧蚀现象 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_98242a400c669f90,活塞上两道令槽有烧蚀现象,incoming,[484],484
obs_0171704b2eaa,被 SHH 轮燃油舱进海水，主机燃烧恶化并裂缸套 以 涉及设备 关系连接,relation_projection,relation,,,涉及设备,ent_e9db8d962395997b,SHH 轮燃油舱进海水，主机燃烧恶化并裂缸套,incoming,[504],504
obs_0171e14da2b1,被 SHH 轮主机冷爆及增压器故障事故 以 原因是 关系连接,relation_projection,relation,,,原因是,ent_20d161c59833d292,SHH 轮主机冷爆及增压器故障事故,incoming,[488],488
obs_017c65e10c6b,与 活塞冷却系统长期不检查除油 存在 原因是 关系,relation_projection,relation,,,原因是,ent_2b10db02351960a8,活塞冷却系统长期不检查除油,outgoing,[475],475
obs_018af007f193,被 No.5 右油舱与其上方 No.6 压载舱之间隔板 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_9cb6d8997e059705,No.5 右油舱与其上方 No.6 压载舱之间隔板,incoming,[506],506
obs_01ab14b9d1c1,与 冷爆现象 存在 表现为 关系,relation_projection,relation,,,表现为,ent_25499fab15b3df9f,冷爆现象,outgoing,[488],488
obs_01b165a0333d,被 DH 轮 以 发生 关系连接,relation_projection,relation,,,发生,ent_ac0c8dd5d102f15f,DH 轮,incoming,[477],477
obs_01b20cac1a60,与 滚轮 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_dce91c57d1a441bd,滚轮,outgoing,[464],464
obs_01d3250105ad,被 内部油脚很厚，均为铝矿粉 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_3a086e5ff9fd177c,内部油脚很厚，均为铝矿粉,incoming,[460],460
obs_01e80104bd9b,被 缸套损坏及活塞头损坏事故 以 教训为 关系连接,relation_projection,relation,,,教训为,ent_c00dd1a27f0c5c5e,缸套损坏及活塞头损坏事故,incoming,[475],475
obs_01f9d06216d1,被 对主机 No.7 缸实施单缸停油 以 处理对象 关系连接,relation_projection,relation,,,处理对象,ent_c83feafafdc34c83,对主机 No.7 缸实施单缸停油,incoming,[464],464
obs_01fae025e37c,被 C 轮主机增压器频繁喘振 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_9b771f820f5acbd2,C 轮主机增压器频繁喘振,incoming,[471],471
obs_02197b352422,与 活塞水伸缩管 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_acbf445f51e66f15,活塞水伸缩管,outgoing,[488],488
obs_0227bed7d294,被 分离机械 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_abaab86246a83a02,分离机械,incoming,[461],461
obs_024f13632df9,与 活塞环断裂 存在 导致 关系,relation_projection,relation,,,导致,ent_1f53d690aec07040,活塞环断裂,outgoing,[461],461
obs_02cf3ac4ef6d,被 失去弹性并严重磨损 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_00829985204a0b85,失去弹性并严重磨损,incoming,[507],507
obs_02d4303c6076,时间：1995 年 3 月 18 日,attribute,entity_attribute,时间,1995 年 3 月 18 日,,,,,[460],460
obs_02d7a3c5af6f,与 热那亚加装燃料油实际使用粘度偏高 存在 原因是 关系,relation_projection,relation,,,原因是,ent_01129687df330596,热那亚加装燃料油实际使用粘度偏高,outgoing,[483],483
obs_02e43219609b,与 轴承座 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_31955d9f73213bbf,轴承座,outgoing,[499],499
obs_02e4594359aa,与 努力提高船员素质，加强业务技术培训和考核 存在 教训为 关系,relation_projection,relation,,,教训为,ent_45a01ad26bfdaf43,努力提高船员素质，加强业务技术培训和考核,outgoing,[463],463
obs_02ebcb90130f,被 缸头螺栓连根拔起事故 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_1305b375df093b8a,缸头螺栓连根拔起事故,incoming,[512],512
obs_03154a2e0d4c,被 SHH 轮主机 No.1 增压器转子弯曲变形 以 原因是 关系连接,relation_projection,relation,,,原因是,ent_ed032dd078b06746,SHH 轮主机 No.1 增压器转子弯曲变形,incoming,[486],486
obs_03206f5da940,被 排烟温差和冷却水温差长期较大 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_691656d47c85d487,排烟温差和冷却水温差长期较大,incoming,[475],475
obs_0330515fa7fd,被 GHS 轮主机连续机损事故 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_b31df66e6f83322d,GHS 轮主机连续机损事故,incoming,[473],473
obs_03319013d1b7,被 C 轮主机增压器频繁喘振 以 采取 关系连接,relation_projection,relation,,,采取,ent_9b771f820f5acbd2,C 轮主机增压器频繁喘振,incoming,[471],471
obs_034997f3caf7,被 单向密封性能差 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_8c4fe19213c435e4,单向密封性能差,incoming,[472],472
obs_035b94c43a09,被 含海水燃油会导致燃烧工况恶化 以 导致 关系连接,relation_projection,relation,,,导致,ent_b7601b612852d3c2,含海水燃油会导致燃烧工况恶化,incoming,[506],506
obs_0373864c8c77,被 JH 轮主机燃油系统进入铝矿粉，造成缸套、活塞环异常磨损 以 涉及设备 关系连接,relation_projection,relation,,,涉及设备,ent_43a29fa6a565390b,JH 轮主机燃油系统进入铝矿粉，造成缸套、活塞环异常磨损,incoming,[460],460
obs_037794e410bf,与 废气锅炉 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_5c4c9b4c2f3ac977,废气锅炉,outgoing,[505],505
obs_038b8f9c1af0,与 缓冲空气室 存在 涉及设备 关系,relation_projection,relation,,,涉及设备,ent_c8e884b60e647019,缓冲空气室,outgoing,[488],488
obs_03a9f9657a04,被 公司安技科 以 采取 关系连接,relation_projection,relation,,,采取,ent_fbb1b65231851930,公司安技科,incoming,[478],478
obs_03d7ad392022,与 主机 存在 涉及设备 关系,relation_projection,relation,,,涉及设备,ent_c36804f0e8a37b9b,主机,outgoing,[511],511
obs_03e058f89f3b,与 油雾浓度探测器 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_94f51cb120d80044,油雾浓度探测器,outgoing,[476],476
obs_03f32cc28eaa,与 主机 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_c36804f0e8a37b9b,主机,outgoing,[510],510
obs_03f61a7fe39e,被 YC 轮主机缸套、活塞异常磨损 以 涉及设备 关系连接,relation_projection,relation,,,涉及设备,ent_0e1a542a535f13bf,YC 轮主机缸套、活塞异常磨损,incoming,[493],493
obs_03f92c532062,被 拆检增压器 以 处理对象 关系连接,relation_projection,relation,,,处理对象,ent_98f5b83ab0654018,拆检增压器,incoming,[496],496
obs_03fc6c7ee9d2,与 活塞令槽 存在 组成或隶属 关系,relation_projection,relation,,,组成或隶属,ent_f0ad749055b45ddd,活塞令槽,outgoing,[473],473
obs_040486dae9ee,与 空冷器脏堵 存在 原因是 关系,relation_projection,relation,,,原因是,ent_959a3fdb1aa453cb,空冷器脏堵,outgoing,[467],467
obs_040bb8cf9a5a,被 打开燃油沉淀柜、日用柜道门检查 以 处理对象 关系连接,relation_projection,relation,,,处理对象,ent_c202fb797935db90,打开燃油沉淀柜、日用柜道门检查,incoming,[460],460
obs_0418068a7be3,与 该缸曲柄销瓦再次出现挤铅 存在 表现为 关系,relation_projection,relation,,,表现为,ent_b731bf5e3a9a7c0b,该缸曲柄销瓦再次出现挤铅,outgoing,[503],503
obs_042219c6d6f5,与 加强对船员业务技术培训 存在 教训为 关系,relation_projection,relation,,,教训为,ent_69cb17f43bca3d51,加强对船员业务技术培训,outgoing,[504],504
obs_04281c0b05e3,与 慢速坚持航行至科伦坡港 存在 采取 关系,relation_projection,relation,,,采取,ent_ae6b8003c1468e73,慢速坚持航行至科伦坡港,outgoing,[462],462
obs_043541c51fc9,被 扫气箱着火 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_7055a2207384d569,扫气箱着火,incoming,[465],465
obs_04359a8f2ccf,与 主机防爆门 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_b8bb19353f6198b9,主机防爆门,outgoing,[477],477
obs_04408344515f,被 排烟高温 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_9cb657cd9c058402,排烟高温,incoming,[491],491
obs_045b59877ba1,被 主机曲拐箱油雾浓度高 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_7b46cbbaf8b4b5a1,主机曲拐箱油雾浓度高,incoming,[476],476
obs_0466438e4cc9,被 轴颈表面形成环形拉痕 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_3cca8c7774859d7d,轴颈表面形成环形拉痕,incoming,[503],503
obs_046b2a51fab7,与 第 2 缸 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_ed55f4b293cd01c8,第 2 缸,outgoing,[491],491
obs_047048ddcba3,与 新加坡 存在 处置于 关系,relation_projection,relation,,,处置于,ent_896ac187ef0894c8,新加坡,outgoing,[505],505
obs_047cef3644e2,与 压气端轴承 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_457816be99bbc4c4,压气端轴承,outgoing,[487],487
obs_048e0ada0cda,被 该轮 以 发生 关系连接,relation_projection,relation,,,发生,ent_66d5077182c2094d,该轮,incoming,[475],475
obs_049d75d6a093,与 主机自动停车 存在 表现为 关系,relation_projection,relation,,,表现为,ent_ba2e01f23ccdcb38,主机自动停车,outgoing,[513],513
obs_04b3d733c507,类型：3800 TEU 集装箱船,attribute,entity_attribute,类型,3800 TEU 集装箱船,,,,,[479],479
obs_04ce4c2ece78,与 活塞令 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_3a12eba919928b26,活塞令,outgoing,[505],505
obs_04e337b07e22,被 六甲漂航自修中轴承更换事故 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_c9d22de9e371f946,六甲漂航自修中轴承更换事故,incoming,[463],463
obs_04e87b4532bc,与 转子 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_a385d3fce78c2bae,转子,outgoing,[488],488
obs_050470ccba77,与 上海港 存在 发生于 关系,relation_projection,relation,,,发生于,ent_6caf8ce4628d3848,上海港,outgoing,[509],509
obs_0527815e58ff,与 锚地 存在 处置于 关系,relation_projection,relation,,,处置于,ent_313d09e0e86996fa,锚地,outgoing,[500],500
obs_052f68817dd3,与 机损 存在 归类为 关系,relation_projection,relation,,,归类为,ent_d5ad56386551ee58,机损,outgoing,[484],484
obs_0544463d8718,与 墨尔本港 存在 发生于 关系,relation_projection,relation,,,发生于,ent_db9c8606bae3021b,墨尔本港,outgoing,[486],486
obs_054c083fdd9a,被 化学清洗空冷器 以 处理对象 关系连接,relation_projection,relation,,,处理对象,ent_383618ceb3a64cb2,化学清洗空冷器,incoming,[471],471
obs_055695c2cf8a,被 换重油初期温度控制不当 以 原因是 关系连接,relation_projection,relation,,,原因是,ent_3a3dcf60814f447e,换重油初期温度控制不当,incoming,[483],483
obs_05686d98497c,被 金属剥落 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_654c8f78bf8e65d2,金属剥落,incoming,[473],473
obs_05713a54b02a,涉及部位：扫气口,attribute,entity_attribute,涉及部位,扫气口,,,,,[493],493
obs_057162a8335c,被 GAY 轮主机透平重复发生故障和损坏 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_00b5eb72aadb3c14,GAY 轮主机透平重复发生故障和损坏,incoming,[462],462
obs_0581866a0143,与 香港 存在 处置于 关系,relation_projection,relation,,,处置于,ent_a1473460fd2114bd,香港,outgoing,[501],501
obs_05a186fa1546,被 换重油初期温度控制不当 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_3a3dcf60814f447e,换重油初期温度控制不当,incoming,[483],483
obs_05b6a3c54057,与 高压油泵 存在 涉及设备 关系,relation_projection,relation,,,涉及设备,ent_feafbcc661b1d3a0,高压油泵,outgoing,[479],479
obs_05c0b711f2e6,被 SHH 轮燃油舱进海水，主机燃烧恶化并裂缸套 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_e9db8d962395997b,SHH 轮燃油舱进海水，主机燃烧恶化并裂缸套,incoming,[504],504
obs_05cf3631f132,被 曲柄销 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_52767c58a201435b,曲柄销,incoming,[503],503
obs_05d0d32e84ca,被 叶轮下沉与涡壳相碰 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_ff922d376f631df4,叶轮下沉与涡壳相碰,incoming,[496],496
obs_05d6333ee3b1,与 吊缸 存在 采取 关系,relation_projection,relation,,,采取,ent_f0223d514932bee1,吊缸,outgoing,[467],467
obs_05da589c8a6f,与 主机冒黑烟 存在 导致 关系,relation_projection,relation,,,导致,ent_3d1bd0275eed8bdd,主机冒黑烟,outgoing,[465],465
obs_05e46fd1e2c9,被 缸头螺栓连根拔起事故 以 采取 关系连接,relation_projection,relation,,,采取,ent_1305b375df093b8a,缸头螺栓连根拔起事故,incoming,[512],512
obs_05f4eacc694e,与 油泵和轴承换新 存在 采取 关系,relation_projection,relation,,,采取,ent_6b0a4bea0059e9a7,油泵和轴承换新,outgoing,[471],471
obs_05fa37e21ef6,被 活塞 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_e43190dd2b913b2e,活塞,incoming,[493],493
obs_05fa48877937,被 活塞环不正常磨损 以 导致 关系连接,relation_projection,relation,,,导致,ent_d2b1f9bed6258940,活塞环不正常磨损,incoming,[461],461
obs_05ffff111008,与 活塞环咬死 存在 导致 关系,relation_projection,relation,,,导致,ent_dd21bad72d75b6a6,活塞环咬死,outgoing,[461],461
obs_060597238f41,与 咬死转子 存在 导致 关系,relation_projection,relation,,,导致,ent_4f1a88caee41e410,咬死转子,outgoing,[498],498
obs_06208141005e,被 增压器轴承 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_5421ef98a44dda87,增压器轴承,incoming,[488],488
obs_062d4e1caaf4,被 第 1~4 缸的凸轮轴 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_b2010eb00b7b47d2,第 1~4 缸的凸轮轴,incoming,[510],510
obs_0643e81e32c5,被 FH 轮 以 采取 关系连接,relation_projection,relation,,,采取,ent_f4521945079e5f1b,FH 轮,incoming,[482],482
obs_064cd4be8de3,与 叶轮 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_1ce66297a548e505,叶轮,outgoing,[496],496
obs_0667c4daf969,被 JYH 轮主机 No.4 缸曲柄销机损事故 以 涉及设备 关系连接,relation_projection,relation,,,涉及设备,ent_405a83eb1cbc0125,JYH 轮主机 No.4 缸曲柄销机损事故,incoming,[503],503
obs_066d2da9d7ea,被 对主机 No.7 缸实施单缸停油 以 处理对象 关系连接,relation_projection,relation,,,处理对象,ent_c83feafafdc34c83,对主机 No.7 缸实施单缸停油,incoming,[464],464
obs_0679a737e49b,被 停车解体 以 处理对象 关系连接,relation_projection,relation,,,处理对象,ent_617908f70989a3b7,停车解体,incoming,[482],482
obs_067aed391cb7,与 冒黑烟 存在 表现为 关系,relation_projection,relation,,,表现为,ent_d4828ddb82bc2a52,冒黑烟,outgoing,[493],493
obs_068c95f8e807,转速：110 r/min,attribute,entity_attribute,转速,110 r/min,,,,,[488],488
obs_06b2ab727580,与 第 6 缸 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_866d3755cd6efd2e,第 6 缸,outgoing,[490],490
obs_06b85413a02b,出厂时间：1994 年 1 月,attribute,entity_attribute,出厂时间,1994 年 1 月,,,,,"[463, 465, 511]",463|465|511
obs_06b86e39c126,被 ××轮因主机失控造成重大碰撞事故 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_3128ae3e355d5885,××轮因主机失控造成重大碰撞事故,incoming,[468],468
obs_06bc2c672257,与 导套保险销紧固螺丝 存在 导致 关系,relation_projection,relation,,,导致,ent_208e2cbb51e23ddd,导套保险销紧固螺丝,outgoing,[465],465
obs_06c337f31736,与 缸头 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_d946bed6647fb563,缸头,outgoing,[498],498
obs_06ca28c384d2,与 底轴后端 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_1ed3e42b431f0ab1,底轴后端,outgoing,[503],503
obs_06d74379baa1,与 增压器轴承 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_5421ef98a44dda87,增压器轴承,outgoing,[488],488
obs_06e1dbefb298,被 第 5 缸 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_b6ad3ed03b95b9d3,第 5 缸,incoming,[474],474
obs_06f1463dc23a,被 燃油凸轮 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_e0c833c17e4893b3,燃油凸轮,incoming,[464],464
obs_070f9b4a0a53,与 第 6 缸 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_866d3755cd6efd2e,第 6 缸,outgoing,[491],491
obs_07125eb89382,与 主机机油粘度超过允许极限 存在 导致 关系,relation_projection,relation,,,导致,ent_1781f61e9579d13e,主机机油粘度超过允许极限,outgoing,[469],469
obs_0735f33530ba,与 清洁扫气箱 存在 教训为 关系,relation_projection,relation,,,教训为,ent_7bbe82c03fecd825,清洁扫气箱,outgoing,[495],495
obs_07396e4e8376,被 GAY 轮主机透平重复发生故障和损坏 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_00b5eb72aadb3c14,GAY 轮主机透平重复发生故障和损坏,incoming,[462],462
obs_076f13cde42c,营运转速：85 r/min,attribute,entity_attribute,营运转速,85 r/min,,,,,[511],511
obs_079d05ed1633,与 布油环无油带起 存在 表现为 关系,relation_projection,relation,,,表现为,ent_5419b2511d0681ca,布油环无油带起,outgoing,[499],499
obs_07aa28878e43,与 第 6 缸排烟温度持续高温 存在 表现为 关系,relation_projection,relation,,,表现为,ent_af09cc78b9a47814,第 6 缸排烟温度持续高温,outgoing,[491],491
obs_07c199d08dd2,与 用舵角达到 35° 存在 原因是 关系,relation_projection,relation,,,原因是,ent_ea08222cf92d6efb,用舵角达到 35°,outgoing,[471],471
obs_07c7623019ae,被 曲柄销颈粘铅较多 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_8bdce284571c9481,曲柄销颈粘铅较多,incoming,[503],503
obs_07da24e38005,被 C 轮主机增压器频繁喘振 以 涉及设备 关系连接,relation_projection,relation,,,涉及设备,ent_9b771f820f5acbd2,C 轮主机增压器频繁喘振,incoming,[471],471
obs_07eba554f35c,与 燃烧不良 存在 导致 关系,relation_projection,relation,,,导致,ent_64bdee1938e5e657,燃烧不良,outgoing,[461],461
obs_0802502ea06b,与 进气阀壳外径与缸头阀孔内径尺寸不符，无法落座到位 存在 原因是 关系,relation_projection,relation,,,原因是,ent_7e1cea2ecebb34d3,进气阀壳外径与缸头阀孔内径尺寸不符，无法落座到位,outgoing,[489],489
obs_0826b37c3909,被 TAH 轮主机链条张紧装置调节螺杆断裂事故 以 涉及设备 关系连接,relation_projection,relation,,,涉及设备,ent_ed1c64599a8a7808,TAH 轮主机链条张紧装置调节螺杆断裂事故,incoming,[502],502
obs_0859a1cd9ae3,被 C 轮主机增压器频繁喘振 以 采取 关系连接,relation_projection,relation,,,采取,ent_9b771f820f5acbd2,C 轮主机增压器频繁喘振,incoming,[471],471
obs_085af89c44e4,被 主机曲拐箱 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_c312ab6b4fdf0a40,主机曲拐箱,incoming,[511],511
obs_0866a98689b5,与 第 5 缸 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_b6ad3ed03b95b9d3,第 5 缸,outgoing,[485],485
obs_086f57ac22b0,与 凸轮 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_cf543ebfe6812929,凸轮,outgoing,[464],464
obs_089dadd089f9,与 主机 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_c36804f0e8a37b9b,主机,outgoing,[469],469
obs_08c4785ab459,与 主机 存在 涉及设备 关系,relation_projection,relation,,,涉及设备,ent_c36804f0e8a37b9b,主机,outgoing,[465],465
obs_08c60323742f,被 FY 轮主机工况恶化事故 以 表现为 关系连接,relation_projection,relation,,,表现为,ent_b7a18bdf6e969c01,FY 轮主机工况恶化事故,incoming,[467],467
obs_08e2f4a72ef8,被 凸轮磨损 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_b716ca45bd8abd8a,凸轮磨损,incoming,[465],465
obs_091105bf6e4a,涉及气缸：第 7 缸,attribute,entity_attribute,涉及气缸,第 7 缸,,,,,[493],493
obs_091516e35629,被 JH 轮主机第 6 缸后主轴承螺栓断裂事故 以 处置于 关系连接,relation_projection,relation,,,处置于,ent_d26653dde3111ea5,JH 轮主机第 6 缸后主轴承螺栓断裂事故,incoming,[501],501
obs_09258634d032,被 凸轮轴断裂 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_b53670d673e298a5,凸轮轴断裂,incoming,[513],513
obs_092f0b64f8cd,与 主机失控 存在 导致 关系,relation_projection,relation,,,导致,ent_09feb164e8e64dd8,主机失控,outgoing,[468],468
obs_093c9e12e3c5,被 中间轴承底座 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_a507797ea782eacd,中间轴承底座,incoming,[499],499
obs_0950184a8954,被 JYH 轮主机 No.4 缸曲柄销机损事故 以 采取 关系连接,relation_projection,relation,,,采取,ent_405a83eb1cbc0125,JYH 轮主机 No.4 缸曲柄销机损事故,incoming,[503],503
obs_09864c96086d,与 缸头起动阀损坏 存在 导致 关系,relation_projection,relation,,,导致,ent_8d77fe6030eaeac5,缸头起动阀损坏,outgoing,[510],510
obs_098ae8b67eb8,与 油泵 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_31d4516b6b73a4c7,油泵,outgoing,[471],471
obs_099db4d37d08,与 气缸密封性不好 存在 原因是 关系,relation_projection,relation,,,原因是,ent_44bbf6fa0f8764e1,气缸密封性不好,outgoing,[488],488
obs_09a11c736c41,与 意大利热那亚港 存在 发生于 关系,relation_projection,relation,,,发生于,ent_86eb2143dc6d62fb,意大利热那亚港,outgoing,[481],481
obs_09a59bc3e516,与 压气端叶轮 存在 组成或隶属 关系,relation_projection,relation,,,组成或隶属,ent_51fe57392d476626,压气端叶轮,outgoing,[497],497
obs_09b5a151b6f8,被 两台燃油分油机长期不能正常排污 以 导致 关系连接,relation_projection,relation,,,导致,ent_1992d035d9748351,两台燃油分油机长期不能正常排污,incoming,[506],506
obs_09d15ff0f28d,与 上下瓦 存在 发生部位 关系,relation_projection,relation,,,发生部位,ent_4969b0694faaddab,上下瓦,outgoing,[503],503
obs_09d5d5ebaa24,与 第 4 缸 存在 组成或隶属 关系,relation_projection,relation,,,组成或隶属,ent_d9922298e0f646d2,第 4 缸,outgoing,[473],473
obs_09dc27736c65,与 扫气箱多次着火 存在 表现为 关系,relation_projection,relation,,,表现为,ent_6a23c8a394910517,扫气箱多次着火,outgoing,[460],460
obs_09f956d619ef,被 FH 轮 No.2 缸活塞头烧穿 以 处置于 关系连接,relation_projection,relation,,,处置于,ent_2ebdb71cb8f2ff63,FH 轮 No.2 缸活塞头烧穿,incoming,[476],476
obs_0a04f5f58728,被 供油系统 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_bd185d1b8768d6c8,供油系统,incoming,[461],461
obs_0a1cedb2ee6e,与 新换的两根螺栓再次断裂 存在 表现为 关系,relation_projection,relation,,,表现为,ent_895ae2d02deba97c,新换的两根螺栓再次断裂,outgoing,[501],501
obs_0a221a918e0b,主机型号：B&W7K62EF,attribute,entity_attribute,主机型号,B&W7K62EF,,,,,[493],493
obs_0a38bbe1aabd,被 裂纹 以 发生部位 关系连接,relation_projection,relation,,,发生部位,ent_d98968449e39f150,裂纹,incoming,[473],473
obs_0a392c024884,与 缸头螺栓从底部螺牙处损坏 存在 表现为 关系,relation_projection,relation,,,表现为,ent_cfa0691ce70744f7,缸头螺栓从底部螺牙处损坏,outgoing,[512],512
