relationship_id,neo4j_rel_type,source_entity_id,target_entity_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
rel_c6fb500ffe58d8b6,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_37eda08035a6e4a5,GAY 轮主机透平重复发生故障和损坏,油泵咬死,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_154e79f7cc9b4124,REL_5D0512FBC4,ent_00b5eb72aadb3c14,ent_3952ad41ae67bd0b,GAY 轮主机透平重复发生故障和损坏,科伦坡港,事故案例,地点,处置于,处置于,处置于,抵...港,"[""抵...港""]",抵...港,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处置于"", ""relation_key"": ""处置于"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""地点""}",[462],462,REMEDIATES_AT,处置于,Remediates At,处置于 / Remediates At
rel_571397dc0c6512dd,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_397fd086881e9224,GAY 轮主机透平重复发生故障和损坏,严重摩擦声,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_6b2aa4247b5a93de,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_49cf0e2641c6de2f,GAY 轮主机透平重复发生故障和损坏,主机转速急剧下降,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_0b9aa7568dc60bec,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_53d7f5ba346e0625,GAY 轮主机透平重复发生故障和损坏,油泵断油,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_47bf6b915e1d0445,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_58c6fa8aad5d91d5,GAY 轮主机透平重复发生故障和损坏,安排新加坡中远海事派人上船修理,事故案例,处置措施,采取,采取,采取,安排...修理,"[""安排...修理""]",安排...修理,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_571231d31f5a9463,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_75ac32004d4fedab,GAY 轮主机透平重复发生故障和损坏,重新订购透平转子等备件,事故案例,处置措施,采取,采取,采取,重新订购,"[""重新订购""]",重新订购,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_61a786135939e4cc,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_900965857ba1acf7,GAY 轮主机透平重复发生故障和损坏,主机无法提速,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_f16c13a3fe40cdb4,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_9c0172903ad5df7c,GAY 轮主机透平重复发生故障和损坏,再次折返科伦坡港,事故案例,处置措施,采取,采取,采取,折返,"[""折返""]",折返,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_34d3c7ce30c7c1b6,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_9cb657cd9c058402,GAY 轮主机透平重复发生故障和损坏,排烟高温,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_38c7e047bc7c1db9,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_a82f5efa089f1c7a,GAY 轮主机透平重复发生故障和损坏,装复续航,事故案例,处置措施,采取,采取,采取,装复续航,"[""装复续航""]",装复续航,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_4bdac10ccb2e8eba,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_ae6b8003c1468e73,GAY 轮主机透平重复发生故障和损坏,慢速坚持航行至科伦坡港,事故案例,处置措施,采取,采取,采取,慢速坚持航行,"[""慢速坚持航行""]",慢速坚持航行,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_4f5f012464f8e0ec,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_af732277fd57af8e,GAY 轮主机透平重复发生故障和损坏,更换两端轴承、油泵和油气封,事故案例,处置措施,采取,采取,采取,更换,"[""更换""]",更换,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_443efe05d5b63fa9,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_afc9e2faa9a2eb34,GAY 轮主机透平重复发生故障和损坏,扫气压力太低,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_2cb84692bdf39847,REL_27FBB3DC61,ent_00b5eb72aadb3c14,ent_b159f1f1ece03122,GAY 轮主机透平重复发生故障和损坏,主机透平,事故案例,设备部件,涉及设备,涉及设备,涉及设备,涉及,"[""涉及""]",涉及,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""涉及设备"", ""relation_key"": ""涉及设备"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""设备部件""}",[462],462,INVOLVES_EQUIPMENT,涉及设备,Involves Equipment,涉及设备 / Involves Equipment
rel_1c6697512fc49290,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_d2d346d0c595d38d,GAY 轮主机透平重复发生故障和损坏,上报急需备件,事故案例,处置措施,采取,采取,采取,要求...上报,"[""要求...上报""]",要求...上报,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_ad247b80ad4c44bc,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_d64aaf7eceb4aa50,GAY 轮主机透平重复发生故障和损坏,扫气压力只有 0.002,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_6444b927550efc36,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_e47a3d8f6ab3b833,GAY 轮主机透平重复发生故障和损坏,着手修理,事故案例,处置措施,采取,采取,采取,着手修理,"[""着手修理""]",着手修理,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_e09bf0c401eb53d9,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_e776abff80a1b162,GAY 轮主机透平重复发生故障和损坏,漂航解体检查透平,事故案例,处置措施,采取,采取,采取,漂航解体检查,"[""漂航解体检查""]",漂航解体检查,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_e9bae3b039afc3c2,REL_5BE0DD1AA4,ent_00b5eb72aadb3c14,ent_e8f0848d554ed550,GAY 轮主机透平重复发生故障和损坏,内部清洁,事故案例,处置措施,采取,采取,采取,经内部清洁,"[""经内部清洁""]",经内部清洁,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""采取"", ""relation_key"": ""采取"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""处置措施""}",[462],462,ADOPTS,采取,Adopts,采取 / Adopts
rel_feea7e1d51369ab7,REL_3F8A56C3E0,ent_00b5eb72aadb3c14,ent_ee65da5ce24edc53,GAY 轮主机透平重复发生故障和损坏,营口港,事故案例,地点,发生于,发生于,发生于,回到,"[""回到""]",回到,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""地点""}",[462],462,OCCURS_AT,发生于,Occurs At,发生于 / Occurs At
rel_7f2737d03a2edc95,REL_B855FE5F5B,ent_00b5eb72aadb3c14,ent_f09e5cc8263a20bc,GAY 轮主机透平重复发生故障和损坏,轮机长、大管轮工作责任心差,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462,CAUSED_BY,原因是,Caused By,原因是 / Caused By
rel_f532fd5f7566a8d3,REL_3F8A56C3E0,ent_00b5eb72aadb3c14,ent_fa8cb0446513635c,GAY 轮主机透平重复发生故障和损坏,马六甲海峡,事故案例,地点,发生于,发生于,发生于,航行至...时,"[""航行至...时""]",航行至...时,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""地点""}",[462],462,OCCURS_AT,发生于,Occurs At,发生于 / Occurs At
rel_7395abf329f8c2dc,REL_EDD5CAA12A,ent_012a6c05e4d921ce,ent_a7877ccacf3bf20d,活塞冷却不良,活塞头内部冷却腔,故障损伤,设备部件,发生部位,发生部位,发生部位,内部,"[""内部""]",内部,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[475],475,OCCURS_AT_COMPONENT,发生部位,Occurs At Component,发生部位 / Occurs At Component
rel_8caf4a26110f25aa,REL_9899E5D4D0,ent_015aaf8494136575,ent_d8fcf4c6f35ec465,"简单地把轴套""红套""在转子轴上，再上磨床校正",破坏转子动平衡,原因因素,故障损伤,导致,导致,导致,已破坏,"[""已破坏""]",已破坏,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障损伤""}",[498],498,CAUSES,导致,Causes,导致 / Causes
rel_c74d82d4b9ebc06f,REL_9899E5D4D0,ent_019a3c16974eac7d,ent_ef4231cb3cc2c699,红套移位,喷油和气阀定时过于提前,故障损伤,故障损伤,导致,导致,导致,导致,"[""导致""]",导致,,unmapped,null,[511],511,CAUSES,导致,Causes,导致 / Causes
rel_ab36cd61bc277d9a,REL_EDD5CAA12A,ent_0228247d5d96544b,ent_ac9135b74ed4ff31,第 4 缸曲柄销轴承有挤铅现象,曲柄销轴承,故障损伤,设备部件,发生部位,发生部位,发生部位,发生在,"[""发生在""]",发生在,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[503],503,OCCURS_AT_COMPONENT,发生部位,Occurs At Component,发生部位 / Occurs At Component
rel_bdb76da3678c5a52,REL_3F8A56C3E0,ent_02436c4f3cd2c89d,ent_268d5e49b0b64dbc,TH 轮,欧洲,船舶,地点,发生于,发生于,发生于,开往,"[""开往""]",开往,,unmapped,null,[509],509,OCCURS_AT,发生于,Occurs At,发生于 / Occurs At
rel_b567b848c3cdbc31,REL_27FBB3DC61,ent_02436c4f3cd2c89d,ent_4695b7aa845c0bdf,TH 轮,主机冷却水系统,船舶,设备部件,涉及设备,涉及设备,涉及设备,发现,"[""发现""]",发现,,unmapped,null,[509],509,INVOLVES_EQUIPMENT,涉及设备,Involves Equipment,涉及设备 / Involves Equipment
rel_f4d6590af2731213,REL_27FBB3DC61,ent_02436c4f3cd2c89d,ent_67654c5f4f2e5d29,TH 轮,缸套,船舶,设备部件,涉及设备,涉及设备,涉及设备,发现,"[""发现""]",发现,,unmapped,null,[509],509,INVOLVES_EQUIPMENT,涉及设备,Involves Equipment,涉及设备 / Involves Equipment
rel_2156adcdd946bfd4,REL_3F8A56C3E0,ent_02436c4f3cd2c89d,ent_6caf8ce4628d3848,TH 轮,上海港,船舶,地点,发生于,发生于,发生于,由...开往,"[""由...开往""]",由...开往,,unmapped,null,[509],509,OCCURS_AT,发生于,Occurs At,发生于 / Occurs At
rel_06e7d97e6dbb2fcf,REL_8E07590EF7,ent_02436c4f3cd2c89d,ent_7bcbf1d0f4dbde98,TH 轮,TH 轮主机气缸油混用造成活塞环异常磨损,船舶,事故案例,发生,发生,发生,发生,"[""发生""]",发生,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生"", ""relation_key"": ""发生"", ""source_entity_type"": ""船舶"", ""target_entity_type"": ""事故案例""}",[495],495,OCCURS,发生,Occurs,发生 / Occurs
rel_f115ec2558853006,REL_27FBB3DC61,ent_02436c4f3cd2c89d,ent_83f7d83e2c3a6b8d,TH 轮,主机曲轴,船舶,设备部件,涉及设备,涉及设备,涉及设备,发现,"[""发现""]",发现,,unmapped,null,[509],509,INVOLVES_EQUIPMENT,涉及设备,Involves Equipment,涉及设备 / Involves Equipment
rel_20d9c78cc8248f8b,REL_3F8A56C3E0,ent_02436c4f3cd2c89d,ent_996dc4f67ff5725e,TH 轮,台湾海峡附近海域,船舶,地点,发生于,发生于,发生于,航行在,"[""航行在""]",航行在,,unmapped,null,[509],509,OCCURS_AT,发生于,Occurs At,发生于 / Occurs At
rel_e086addaadefa838,REL_27FBB3DC61,ent_02436c4f3cd2c89d,ent_d946bed6647fb563,TH 轮,缸头,船舶,设备部件,涉及设备,涉及设备,涉及设备,发现,"[""发现""]",发现,,unmapped,null,[509],509,INVOLVES_EQUIPMENT,涉及设备,Involves Equipment,涉及设备 / Involves Equipment
rel_2a5c031be6c27a2a,REL_27FBB3DC61,ent_02436c4f3cd2c89d,ent_e0e22c25b452097a,TH 轮,B&W984VT2BF-180,船舶,设备部件,涉及设备,涉及设备,涉及设备,主机型号,"[""主机型号""]",主机型号,,unmapped,null,[509],509,INVOLVES_EQUIPMENT,涉及设备,Involves Equipment,涉及设备 / Involves Equipment
rel_ce571b9796c17ebd,REL_F397DD8B78,ent_0276af44cebed301,ent_a385d3fce78c2bae,使用专用工具临时锁住转子,转子,处置措施,设备部件,处理对象,处理对象,处理对象,锁住,"[""锁住""]",锁住,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[488],488,ACTS_ON,处理对象,Acts On,处理对象 / Acts On
rel_1ec1c19cc213c976,REL_F397DD8B78,ent_02870938a3c7e7be,ent_798095d4d5ee49ee,柱塞换新,柱塞,处置措施,设备部件,处理对象,处理对象,处理对象,柱塞换新,"[""柱塞换新""]",柱塞换新,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[482],482,ACTS_ON,处理对象,Acts On,处理对象 / Acts On
rel_e3347a1fa49adf65,REL_F397DD8B78,ent_02f9092bcf02521f,ent_926ca639b6813026,将令槽内台阶锉平,令槽内台阶,处置措施,设备部件,处理对象,处理对象,处理对象,处理对象,"[""处理对象""]",处理对象,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[494],494,ACTS_ON,处理对象,Acts On,处理对象 / Acts On
rel_8432b8f8626f1787,REL_F397DD8B78,ent_03139763483a286e,ent_b2010eb00b7b47d2,把前面第 1~4 缸的凸轮轴整体向后调节 9 度后再将考比林焊牢,第 1~4 缸的凸轮轴,处置措施,设备部件,处理对象,处理对象,处理对象,处理对象,"[""处理对象""]",处理对象,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[510],510,ACTS_ON,处理对象,Acts On,处理对象 / Acts On
rel_ae2ba3cd4593ac19,REL_EDD5CAA12A,ent_0388098d54e84545,ent_1d841a64292ec069,缸套裂缝,第 2 缸缸套,故障损伤,设备部件,发生部位,发生部位,发生部位,第 2 缸缸套裂缝,"[""第 2 缸缸套裂缝""]",第 2 缸缸套裂缝,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[505],505,OCCURS_AT_COMPONENT,发生部位,Occurs At Component,发生部位 / Occurs At Component
rel_0de8662443974404,REL_EDD5CAA12A,ent_0388098d54e84545,ent_34f21a176b210e93,缸套裂缝,第 4 缸缸套,故障损伤,设备部件,发生部位,发生部位,发生部位,第 4 缸缸套裂缝,"[""第 4 缸缸套裂缝""]",第 4 缸缸套裂缝,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[505],505,OCCURS_AT_COMPONENT,发生部位,Occurs At Component,发生部位 / Occurs At Component
rel_9937f0a973bed001,REL_EDD5CAA12A,ent_0388098d54e84545,ent_67654c5f4f2e5d29,缸套裂缝,缸套,故障损伤,设备部件,发生部位,发生部位,发生部位,裂缝,"[""裂缝""]",裂缝,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[509],509,OCCURS_AT_COMPONENT,发生部位,Occurs At Component,发生部位 / Occurs At Component
rel_486de676ef213159,REL_8E07590EF7,ent_03bcf879ab755cd4,ent_9b771f820f5acbd2,C 轮,C 轮主机增压器频繁喘振,船舶,事故案例,发生,发生,发生,发生,"[""发生""]",发生,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生"", ""relation_key"": ""发生"", ""source_entity_type"": ""船舶"", ""target_entity_type"": ""事故案例""}",[471],471,OCCURS,发生,Occurs,发生 / Occurs
rel_ced65197975a3893,REL_8E07590EF7,ent_041e094ed62f10d2,ent_b31df66e6f83322d,GHS 轮,GHS 轮主机连续机损事故,船舶,事故案例,发生,发生,发生,发生,"[""发生""]",发生,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生"", ""relation_key"": ""发生"", ""source_entity_type"": ""船舶"", ""target_entity_type"": ""事故案例""}",[473],473,OCCURS,发生,Occurs,发生 / Occurs
rel_6223d2796094f7e7,REL_E225E6AD07,ent_04cd2af98543499a,ent_798095d4d5ee49ee,柱塞下部,柱塞,设备部件,设备部件,组成或隶属,组成或隶属,组成或隶属,下部,"[""下部""]",下部,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""组成或隶属"", ""relation_key"": ""组成或隶属"", ""source_entity_type"": ""设备部件"", ""target_entity_type"": ""设备部件""}",[483],483,PART_OF_OR_BELONGS_TO,组成或隶属,Part Of Or Belongs To,组成或隶属 / Part Of Or Belongs To
